batch_id,research_order_in_batch,subject_id,name,preassigned_axis,sweep_status,eligible_event_rows,excluded_candidate_rows,positive_eligible,negative_eligible,both_polarities,source_high_rows,source_medium_rows,notes
2,1,V5CONFIRM_025,Katharine McPhee,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,2,V5CONFIRM_036,Jim Morrison,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,1,1,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
2,3,V5CONFIRM_070,Guy,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,0,0,0,0,False,0,0,No source-verifiable eligible major STATUS event was located within the bounded sweep; no event was invented to create a usable pair.
2,4,V5CONFIRM_049,Marina Berlusconi,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,3,0,3,0,False,3,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,5,V5CONFIRM_005,Fabrice Tiozzo,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,3,1,True,0,4,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
2,6,V5CONFIRM_010,Rubin Carter,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,0,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
2,7,V5CONFIRM_066,Fritz Fischer,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,8,V5CONFIRM_045,Robert Bresson,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,4,0,False,4,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,9,V5CONFIRM_075,Gerd Bucerius,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,1,1,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,10,V5CONFIRM_029,Matt Dillon,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,11,V5CONFIRM_020,Maurizio Stecca,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,0,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
2,12,V5CONFIRM_073,Jimmy Osmond,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,0,0,0,0,False,0,0,No source-verifiable eligible major STATUS event was located within the bounded sweep; no event was invented to create a usable pair.
2,13,V5CONFIRM_057,Daniel Wildenstein,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,14,V5CONFIRM_078,Frank Lorenzo,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,0,1,False,0,1,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,15,V5CONFIRM_021,Mattiwilda Dobbs,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,16,V5CONFIRM_008,Zora Folley,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,0,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
2,17,V5CONFIRM_016,Boomer Esiason,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,2,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
2,18,V5CONFIRM_056,Hans Fritzsche,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,19,V5CONFIRM_067,Seymour Cray,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,3,0,3,0,False,3,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
2,20,V5CONFIRM_031,Gregory Peck,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
