batch_id,research_order_in_batch,subject_id,name,preassigned_axis,sweep_status,eligible_event_rows,excluded_candidate_rows,positive_eligible,negative_eligible,both_polarities,source_high_rows,source_medium_rows,notes
3,1,V5CONFIRM_040,Claire Keim,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,0,0,0,0,False,0,0,No source-verifiable eligible major PROJECT event was located within the bounded sweep; no event was invented to create a usable pair.
3,2,V5CONFIRM_026,Marilyn Manson,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
3,3,V5CONFIRM_012,Denny Moyer,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,0,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
3,4,V5CONFIRM_022,Arielle Dombasle,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
3,5,V5CONFIRM_063,Jack Welch,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,0,1,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
3,6,V5CONFIRM_014,Henry Cooper,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,0,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
3,7,V5CONFIRM_001,Tracy Austin,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,3,0,2,1,True,3,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
3,8,V5CONFIRM_048,Christie Hefner,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,0,2,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
3,9,V5CONFIRM_046,Christina Onassis,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,0,0,0,0,False,0,0,No source-verifiable eligible major STATUS event was located within the bounded sweep; no event was invented to create a usable pair.
3,10,V5CONFIRM_006,Marcel Cerdan,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,2,2,True,0,4,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
3,11,V5CONFIRM_041,Orson Welles,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,1,1,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
3,12,V5CONFIRM_013,Ronnie Harris,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,2,2,True,4,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
3,13,V5CONFIRM_043,Margherita Buy,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,0,0,0,0,False,0,0,No source-verifiable eligible major PROJECT event was located within the bounded sweep; no event was invented to create a usable pair.
3,14,V5CONFIRM_077,Michel Rocard,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,2,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
3,15,V5CONFIRM_069,Heinrich Hellwege,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
3,16,V5CONFIRM_062,Johannes Rau,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,2,2,True,0,4,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
3,17,V5CONFIRM_064,Bobby Rahal,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,1,1,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
3,18,V5CONFIRM_030,Marco Ferreri,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
3,19,V5CONFIRM_059,Hermann Fegelein,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,1,2,0,False,0,3,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
3,20,V5CONFIRM_065,Jürgen Wagner,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,0,2,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
