batch_id,research_order_in_batch,subject_id,name,preassigned_axis,sweep_status,eligible_event_rows,excluded_candidate_rows,positive_eligible,negative_eligible,both_polarities,source_high_rows,source_medium_rows,notes
1,1,V5CONFIRM_052,Rachida Dati,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,1,3,1,True,3,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
1,2,V5CONFIRM_060,Walter Dirks,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,0,1,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,3,1,True,2,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
1,4,V5CONFIRM_080,Gustav Knuth,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,0,0,0,0,False,0,0,No source-verifiable eligible major STATUS event was located within the bounded sweep; no event was invented to create a usable pair.
1,5,V5CONFIRM_019,Dieter Thoma,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,3,0,3,0,False,3,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,3,1,True,4,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
1,7,V5CONFIRM_002,Barbara Jordan,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,2,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
1,8,V5CONFIRM_044,Nathalie Delon,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,0,1,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,9,V5CONFIRM_028,Michael Richards,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,0,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
1,10,V5CONFIRM_034,Mamie Van Doren,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,0,0,0,0,False,0,0,No source-verifiable eligible major PROJECT event was located within the bounded sweep; no event was invented to create a usable pair.
1,11,V5CONFIRM_061,Marco Pannella,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,5,0,3,2,True,0,5,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
1,12,V5CONFIRM_015,Brian J. White,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,0,0,0,0,False,0,0,No source-verifiable eligible major COMPETITIVE event was located within the bounded sweep; no event was invented to create a usable pair.
1,13,V5CONFIRM_068,Gianfranco Fini,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,14,V5CONFIRM_039,Eriprando Visconti,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,0,1,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,15,V5CONFIRM_042,Annie Sprinkle,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,16,V5CONFIRM_072,Camilo Cienfuegos,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,0,2,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,17,V5CONFIRM_032,Wayne Marshall,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,0,1,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,18,V5CONFIRM_050,Andrea Ypsilanti,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,3,0,2,1,True,2,1,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
1,19,V5CONFIRM_035,Harry Belafonte,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
1,20,V5CONFIRM_058,Marc Veyrat,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,0,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
1,21,V5CONFIRM_079,Daniel Hechter,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,0,2,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
