repeat,fold,selection_method,feature,family,value,selection_frequency
0,0,ELASTICNET_AUTO,basic__dw_branch_亥,basic,-0.09397308629648933,
0,0,ELASTICNET_AUTO,basic__dw_branch_午,basic,-0.5833107354480852,
0,0,ELASTICNET_AUTO,basic__dw_branch_卯,basic,0.5469070945105629,
0,0,ELASTICNET_AUTO,basic__dw_branch_子,basic,0.6105876697143946,
0,0,ELASTICNET_AUTO,basic__dw_branch_巳,basic,-0.17276674049186813,
0,0,ELASTICNET_AUTO,basic__dw_branch_戌,basic,-0.764322388380955,
0,0,ELASTICNET_AUTO,basic__dw_branch_申,basic,0.7894078236252723,
0,0,ELASTICNET_AUTO,basic__dw_branch_辰,basic,0.07839683500028993,
0,0,ELASTICNET_AUTO,basic__dw_element_earth,basic,0.10819781601288851,
0,0,ELASTICNET_AUTO,basic__dw_element_water,basic,-0.9883058558352333,
0,0,ELASTICNET_AUTO,basic__dw_element_wood,basic,0.2753402135609035,
0,0,ELASTICNET_AUTO,basic__dw_stem_壬,basic,-1.0654852693137473,
0,0,ELASTICNET_AUTO,basic__dw_stem_己,basic,0.21834902626503694,
0,0,ELASTICNET_AUTO,basic__dw_stem_甲,basic,1.225319558184281,
0,0,ELASTICNET_AUTO,basic__sw_branch_丑,basic,0.03797548375289309,
0,0,ELASTICNET_AUTO,basic__sw_branch_亥,basic,-0.15785983444096513,
0,0,ELASTICNET_AUTO,basic__sw_branch_卯,basic,0.131557056919015,
0,0,ELASTICNET_AUTO,basic__sw_branch_子,basic,-0.3273853383543847,
0,0,ELASTICNET_AUTO,basic__sw_branch_寅,basic,-0.2573840252415892,
0,0,ELASTICNET_AUTO,basic__sw_branch_未,basic,0.030516740813906006,
0,0,ELASTICNET_AUTO,basic__sw_branch_申,basic,0.013272215459116346,
0,0,ELASTICNET_AUTO,basic__sw_stem_丁,basic,0.14415449872859568,
0,0,ELASTICNET_AUTO,basic__sw_stem_乙,basic,-0.37939042500053305,
0,0,ELASTICNET_AUTO,basic__sw_stem_壬,basic,-0.10253074425542379,
0,0,ELASTICNET_AUTO,basic__sw_stem_庚,basic,-0.6056966797091378,
0,0,ELASTICNET_AUTO,basic__sw_stem_甲,basic,0.1994193021918762,
0,0,ELASTICNET_AUTO,basic__sw_stem_癸,basic,0.32580042778309254,
0,0,ELASTICNET_AUTO,basic__sw_yy_yang,basic,-0.11952432780889599,
0,0,ELASTICNET_AUTO,basic__sw_yy_yin,basic,0.11952432780889599,
0,0,ELASTICNET_AUTO,relation__dw_branch_break_natal,relation,0.39348742304402606,
0,0,ELASTICNET_AUTO,relation__dw_branch_clash_natal,relation,-0.5907435786387168,
0,0,ELASTICNET_AUTO,relation__dw_branch_combine_natal,relation,-0.8624176066421456,
0,0,ELASTICNET_AUTO,relation__dw_branch_harm_natal,relation,0.030258148331326236,
0,0,ELASTICNET_AUTO,relation__dw_branch_punish_natal,relation,-0.022784918772047337,
0,0,ELASTICNET_AUTO,relation__dw_stem_clash_natal,relation,0.36159800229553213,
0,0,ELASTICNET_AUTO,relation__sw_branch_break_natal,relation,0.6492049631156154,
0,0,ELASTICNET_AUTO,relation__sw_branch_combine_natal,relation,0.6379267598000868,
0,0,ELASTICNET_AUTO,relation__sw_branch_harm_natal,relation,-0.2231865843683746,
0,0,ELASTICNET_AUTO,relation__sw_branch_punish_natal,relation,-0.22398545114897522,
0,0,ELASTICNET_AUTO,relation__sw_dw_branch_break,relation,0.06160717963175332,
